key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
CaII-3935,Ca II,3934.777,0.0,3.150984,147000000.0,0.682,2-4,3p64s-3p64p,2S-2P*,1/2-3/2,E1,3933.663294444916,permitted,1.364,2,1.0,2S,NIST,--
HeI-3966,He I,3965.851,20.615774823,23.7420700688,6950700.0,0.049168,1-3,1s2s-1s4p,1S-1P*,0-1,E1,3964.728778453784,permitted,0.049168,3,1.0,1S,NIST,--
[NeIII]-3969,[Ne III],3968.59,0.0797065,3.203841,0.054,2.13e-10,3-5,2s22p4-2s22p4,3P-1D,1-2,M1,3967.4674744940608,forbidden,6.39e-10,1,1.0,3P-1D,NIST,--
CaII-3970,Ca II,3969.591,0.0,3.123349,140000000.0,0.33,2-2,3p64s-3p64p,2S-2P*,1/2-1/2,E1,3968.4682132663206,permitted,0.66,2,1.0,2S,NIST,--
H7,H I,3971.202,10.1988358,13.32091817,438890.0,0.012711,8-98,2-7,,,E1,3970.078792834293,permitted,0.101688,0,1.0,2-7,NIST,--
HeI-4010,He I,4010.39,21.2180227112,24.309597381304,2961200.0,0.0119,3-5,1s2p-1s7d,1P*-1D,1-2,E1,4009.256463980364,permitted,0.0357,1,1.0,1P*,NIST,--
HeI-4027,He I,4027.324,20.96408688908,24.042662242088,11601000.0,0.039492,5-7,1s2p-1s5d,3P*-3D,2-3,E1,4026.185952991993,permitted,0.19746,2,1.0,3P*,NIST,--
[FeII]-4035,[Fe II],4035.118,0.35186476,3.42449356,0.0117,2.86e-11,6-6,3d7-3d6(3F2)4s,a4F-a2F,5/2-5/2,E2,4033.978118107008,forbidden,1.716e-10,44,0.2767316615083635,a4F-a2F,NIST,--
[FeII]-4050,[Fe II],4050.26,1.67061856,4.7317602,0.0303,7.5e-11,6-6,3d7-3d6(1D2)4s,a4P-c2D,5/2-5/2,M1+E2,4049.116239071228,forbidden,4.5e-10,29,0.5792486912697881,a4P-c2D,NIST,--
[SII]-4070,[S II],4069.746,0.0,3.046485,0.192,4.77e-10,4-4,3s23p3-3s23p3,4S*-2P*,3/2-3/2,M1,4068.597042139857,forbidden,1.908e-09,3,1.0,4S*-2P*,NIST,--
[FeV]-4072,[Fe V],4072.44,0.05176,3.09623,1.18,1.76e-09,5-3,3d4-3d4,5D-3P2,2-1,M1,4071.29033728018,forbidden,8.8e-09,0,1.0,5D-3P2,NIST,--
[FeII]-4075,[Fe II],4074.764,1.6952613,4.7379945,0.0164,4.1e-11,4-4,3d7-3d6(1D2)4s,a4P-c2D,3/2-3/2,M1+E2,4073.613729190803,forbidden,1.64e-10,29,0.13558239578625653,a4P-c2D,NIST,--
[SII]-4077,[S II],4077.494,0.0,3.040696,0.0772,9.62e-11,4-2,3s23p3-3s23p3,4S*-2P*,3/2-1/2,M1,4076.343014825619,forbidden,3.848e-10,3,0.3300589387954435,4S*-2P*,NIST,--
[FeII]-4081,[Fe II],4081.147,0.38651921,3.42449356,0.0422,1.58e-10,4-6,3d7-3d6(3F2)4s,a4F-a2F,3/2-5/2,M1+E2,4079.995058863938,forbidden,6.32e-10,44,0.7211261390808755,a4F-a2F,NIST,--
[FeII]-4083,[Fe II],4083.13,1.6952613,4.7317602,0.0469,1.76e-10,4-6,3d7-3d6(1D2)4s,a4P-c2D,3/2-5/2,E2,4081.977539893349,forbidden,7.04e-10,29,1.0,a4P-c2D,NIST,--
[FeII]-4085,[Fe II],4085.478,0.35186476,3.38661825,0.0264,8.8e-11,6-8,3d7-3d6(3F2)4s,a4F-a2F,5/2-7/2,E2,4084.325335259669,forbidden,5.28e-10,44,1.0,a4F-a2F,NIST,--
Hd,H I,4102.899,10.1988358,13.22070389,973200.0,0.022105,8-72,2-6,,,E1,4101.741464792317,permitted,0.17684,0,1.0,2-6,NIST,--
[FeII]-4114,[Fe II],4113.594,1.72398297,4.7379945,0.0118,6e-11,2-4,3d7-3d6(1D2)4s,a4P-c2D,1/2-3/2,M1+E2,4112.43356411017,forbidden,1.2e-10,29,0.09681651496903355,a4P-c2D,NIST,--
