ion,wave_vac,terms,line_ratio,configuration,multiplet
Fe II,1698.0045168251906,b4D,0.0810897435897436,,16
Fe II,1698.3303758157688,b4D,0.10528846153846154,,16
Fe II,1720.9012669060287,b4G,0.04488188976377953,,18
Fe II,1722.3639507620305,b2P,0.8439597315436241,,15
Fe II,1724.310551595231,b4G,0.09448818897637795,,18
Fe II,1726.0142216400282,b4G,0.12598425196850394,,18
Fe II,1736.3055744073997,b4G,0.09685039370078741,,18
Fe II,1740.1650925800836,c4F,0.16524590163934427,,21
Fe II,1780.1211774083263,b4G,0.03960629921259842,,18
Fe II,1785.5132379852353,b4G,0.11968503937007874,,18
Fe II,1785.8942444622926,a6S,0.24875621890547264,,11
Fe II,1786.107248205875,b4G,0.0984251968503937,,18
Fe II,1787.37527229366,a6S,0.18034825870646767,,11
Fe II,1788.437294812683,b4G,0.08976377952755905,,18
Fe II,1788.619298883729,a6S,0.15298507462686567,,11
Fe II,1790.4663436517112,b4G,0.11023622047244094,,18
Fe II,1794.617466530078,b4G,0.048188976377952754,,18
Fe II,1796.2225220055125,b4G,0.05062992125984252,,18
Fe II,1799.9386667423614,b4G,0.08346456692913386,,18
Fe II,1800.4076865842355,b4G,0.0678740157480315,,18
Fe II,1806.1559571558673,b4G,0.04417322834645669,,18
Fe II,1806.3419667332334,b4D,0.09647435897435898,,16
Fe II,1806.4669731978058,b4G,0.3299212598425197,,18
Fe II,1809.7801526581418,b4G,0.06338582677165354,,18
Fe II,1812.8893349075952,b4D,0.09487179487179487,,16
Fe II,1813.6603821135175,b4D,0.10064102564102564,,16
Fe II,1817.9996621636253,b4D,0.12051282051282051,,16
Fe II,1818.1306709903783,b4D,0.11073717948717948,,16
Fe II,1821.536907886694,b4G,0.08267716535433071,,18
Fe II,1827.8543835104347,b4G,0.04062992125984252,,18
Fe II,1831.0886443227128,b4G,0.06874015748031496,,18
Fe II,1832.6047704486107,b4G,0.09370078740157481,,18
Fe II,1834.2709118299847,b4G,0.1094488188976378,,18
Fe II,1835.589025703652,b4G,0.12677165354330708,,18
Fe II,1840.427458589938,b4G,0.11653543307086614,,18
Fe II,1840.624476701048,b4G,0.10393700787401575,,18
Fe II,1842.3356355558412,b4G,0.2220472440944882,,18
Fe II,1843.88578184005,b4G,0.2559055118110236,,18
Fe II,1844.1128034509375,b4G,0.2188976377952756,,18
Fe II,1852.979683568948,b4G,0.08976377952755905,,18
Fe II,1853.6547533587368,b4G,0.15039370078740158,,18
Fe II,1853.9817873048237,b4G,0.09606299212598425,,18
Fe II,1854.4048313485569,b4G,0.05149606299212599,,18
Fe II,1870.181574410617,b4G,0.658267716535433,,18
Fe II,1873.2669367851095,b4G,1.0,,18
Fe II,1873.6019765331941,b4G,0.07763779527559055,,18
Fe II,1878.3455474500147,b4G,0.04078740157480315,,18
Fe II,1881.159893201397,b4G,0.1110236220472441,,18
Fe II,1891.274176761382,b4G,0.04952755905511811,,18
Fe II,1891.6822298397612,b4G,0.04535433070866142,,18
Fe II,1902.1366219549814,b4G,0.054409448818897636,,18
Fe II,1921.6203690043383,b2F,0.6086519114688129,,12
Fe II,1928.5543901289634,b2F,0.7977867203219315,,12
Fe II,1966.8383796118674,d2D,1.0,,0
Fe II,1970.9710579898165,b4G,0.247244094488189,,18
Fe II,1974.7966909587212,b4G,0.32677165354330706,,18
Fe II,1979.152417331089,b4G,0.33385826771653543,,18
Fe II,1983.7081833873897,b4G,0.29606299212598425,,18
Fe II,2021.1306999569597,d4P,0.3128834355828221,,24
Fe II,2100.1535265122943,b2D,1.0,,0
Fe II,2146.720788270426,a6D,0.03582089552238806,,10
