key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
FeII-3837,Fe II,3836.511,7.397326,10.629017,9145.0,2.0180875756220956e-05,4-4,(3P)4p-(5D)4d,z4S-4S,3/2-3/2,E1,3835.423,permitted,8.072350302488382e-05,68,0.0008972532025518896,z4S,K88,--
FeII]-3837,Fe II,3836.793,7.702593,10.934046,98210.0,0.00010837771959688221,4-2,(3P)4p-(5D)4d,z2D-4P,3/2-1/2,E1,3835.705,semi-forbidden,0.00043351087838752885,65,0.001025968041752166,z2D,K88,--
FeII]-3841,Fe II,3840.618,7.494259,10.722494,5239.0,1.5447163722989142e-05,6-8,d54s2-(1F)4p,c4D-u2F,5/2-7/2,E1,3839.529,semi-forbidden,9.268298233793485e-05,107,0.00032205825571501444,c4D,K88,--
FeII]-3841,Fe II,3841.497,7.702593,10.930089,27930.0,6.179310362540323e-05,4-4,(3P)4p-(5D)4d,z2D-4P,3/2-3/2,E1,3840.408,semi-forbidden,0.0002471724145016129,65,0.0011764024525414837,z2D,K88,--
FeII]-3842,Fe II,3842.434,4.479101,7.705811,1402.0,4.655217841657164e-06,4-6,(3D)4s-(3F)4p,b2D-y4F,3/2-5/2,E1,3841.344,semi-forbidden,1.8620871366628657e-05,26,3.127049462248249e-05,b2D,K88,--
FeII-3844,Fe II,3844.085,7.488936,10.71426,49600.0,0.00014650375280514738,6-8,(3P)4p-(5D)4d,y4P-e4F,5/2-7/2,E1,3842.995,permitted,0.0008790225168308842,64,0.005535450214861618,y4P,K88,--
FeII-3845,Fe II,3845.244,5.875584,9.099935,2000.0,6.651812649497021e-06,4-6,(5D)4p-d54s2,z4P-4F,3/2-5/2,E1,3844.154,permitted,2.6607250597988085e-05,86,2.4760431935376724e-05,z4P,K88,--
FeII-3845,Fe II,3845.332,7.705811,10.930089,7148.0,1.0564495187615438e-05,6-4,(3F)4p-(5D)4d,y4F-4P,5/2-3/2,E1,3844.242,permitted,6.338697112569263e-05,36,0.00010445838562596892,y4F,K88,--
FeII-3845,Fe II,3845.495,7.486708,10.710849,35250.0,7.815738213204769e-05,2-2,d54s2-(3P)4p,c4D-v4D,1/2-1/2,E1,3844.405,permitted,0.00015631476426409538,107,0.0004169461127737455,c4D,K88,--
FeII-3846,Fe II,3845.879,9.062202,12.286022,4168000.0,0.011091748152624013,10-12,(1G)4p-(3H)5s,w2G-e2H,9/2-11/2,E1,3844.788,permitted,0.11091748152624012,10,0.5173645961371007,w2G,K88,--
FeII-3846,Fe II,3846.271,4.479101,7.702593,576700.0,0.0012792045888507695,4-4,(3D)4s-(3P)4p,b2D-z2D,3/2-3/2,E1,3845.18,permitted,0.005116818355403078,26,0.005754223167379217,b2D,K88,--
FeII]-3847,Fe II,3847.397,4.494789,7.717337,14150.0,2.0933832728247924e-05,6-4,(3D)4s-(3F)4p,b2D-y4F,5/2-3/2,E1,3846.306,semi-forbidden,0.00012560299636948753,26,9.091860834619862e-05,b2D,K88,--
FeII]-3851,Fe II,3851.27,2.029542,5.248849,35.38,5.9007880157948864e-08,8-6,d7-(5D)4p,a2G-z6F,7/2-5/2,E1,3850.178,semi-forbidden,4.720630412635909e-07,110,7.803487606991672e-06,a2G,K88,--
FeII-3854,Fe II,3853.651,9.003669,12.220987,17230.0,5.115036647318597e-05,6-8,(3D)4p-(3H)5s,w4D-e4H,5/2-7/2,E1,3852.558,permitted,0.0003069021988391158,22,0.0012152180658775485,w4D,K88,--
FeII-3854,Fe II,3853.894,7.493733,10.710849,19650.0,2.187459438068591e-05,4-2,d54s2-(3P)4p,c4D-v4D,3/2-1/2,E1,3852.801,permitted,8.749837752274364e-05,107,0.0001159330844193185,c4D,K88,--
FeII-3854,Fe II,3854.226,8.947815,12.164654,13530.0,3.0125898509294935e-05,4-4,(3D)4p-(3P)5s,w4F-4P,3/2-3/2,E1,3853.133,permitted,0.00012050359403717974,23,0.00056226497488519,w4F,K88,--
FeII-3854,Fe II,3854.38,7.717337,10.934046,39460.0,4.394809034896733e-05,4-2,(3F)4p-(5D)4d,y4F-4P,3/2-1/2,E1,3853.287,permitted,0.0001757923613958693,36,0.0002137735805195427,y4F,K88,--
FeII]-3855,Fe II,3855.304,6.484298,9.700237,1782.0,5.294790117749615e-06,6-8,(6S)sp-(5D)5s,z8P-e6D,5/2-7/2,E1,3854.211,semi-forbidden,3.176874070649769e-05,100,0.11703026614329357,z8P,K88,--
FeII]-3858,Fe II,3857.545,4.731757,7.945827,743.6,1.6590090289192125e-06,6-6,(1D)4s-(3F)4p,c2D-y4G,5/2-5/2,E1,3856.451,semi-forbidden,9.954054173515275e-06,4,1.263956079878575e-05,c2D,K88,--
FeII]-3858,Fe II,3857.633,4.479101,7.693099,85.97,2.877000972361089e-07,4-6,(3D)4s-(6S)sp,b2D-y6P,3/2-5/2,E1,3856.539,semi-forbidden,1.1508003889444356e-06,26,1.9670002168104317e-06,b2D,K88,--
FeII-3858,Fe II,3858.009,7.695144,10.908827,263800.0,0.00044147896223994623,8-6,(3F)4p-(5D)4d,4F-4P,7/2-5/2,E1,3856.915,permitted,0.00353183169791957,29,0.017588371972579103,4F,K88,--
FeII]-3858,Fe II,3858.219,4.494789,7.708298,3.667,1.0910602901121245e-08,6-8,(3D)4s-(6S)sp,b2D-y6P,5/2-7/2,E1,3857.125,semi-forbidden,6.546361740672747e-08,26,9.596968426932549e-08,b2D,K88,--
FeII-3858,Fe II,3858.285,9.007534,12.220987,2417.0,4.31519076827765e-06,10-8,(3D)4p-(3H)5s,w4F-e4H,9/2-7/2,E1,3857.191,permitted,4.31519076827765e-05,23,0.00014088944868031767,w4F,K88,--
FeII-3858,Fe II,3858.466,9.007685,12.220987,4327.0,9.658507313696277e-06,8-8,(3D)4p-(3H)5s,w4D-e4H,7/2-7/2,E1,3857.372,permitted,7.726805850957021e-05,22,0.00022860650824999424,w4D,K88,--
FeII]-3859,Fe II,3858.528,6.225597,9.438848,50960.0,7.583134335834142e-05,6-4,(3P)4s-(1S)4p,c4P-x2P,5/2-3/2,E1,3857.434,semi-forbidden,0.0004549880601500485,72,0.00024892855538693277,c4P,K88,--
FeII-3859,Fe II,3859.127,7.717337,10.930089,9143.0,2.0414559283964808e-05,4-4,(3F)4p-(5D)4d,y4F-4P,3/2-3/2,E1,3858.033,permitted,8.165823713585923e-05,36,0.00019969577747841702,y4F,K88,--
FeII-3861,Fe II,3860.769,8.953268,12.164654,85650.0,0.0003827983034556281,2-4,(3D)4p-(3P)5s,4D-4P,1/2-3/2,E1,3859.675,permitted,0.0007655966069112562,19,0.008077195699018526,4D,K88,--
FeII]-3861,Fe II,3861.207,4.494789,7.705811,4421.0,9.88208874299999e-06,6-6,(3D)4s-(3F)4p,b2D-y4F,5/2-5/2,E1,3860.112,semi-forbidden,5.929253245799994e-05,26,6.541743126212756e-05,b2D,K88,--
FeII-3864,Fe II,3863.813,9.074066,12.282922,89340.0,0.0003999171275035142,2-4,(3D)4p-(3P)5s,y2P-2P,1/2-3/2,E1,3862.718,permitted,0.0007998342550070284,25,0.047061931134727515,y2P,K88,--
FeII-3864,Fe II,3864.086,9.074293,12.282922,119100.0,0.0002666490303075645,4-4,(3D)4p-(3P)5s,y2P-2P,3/2-3/2,E1,3862.991,permitted,0.001066596121230258,25,0.031372396527840865,y2P,K88,--
FeII]-3864,Fe II,3864.481,4.731757,7.940058,75310.0,0.00022482714709860885,6-8,(1D)4s-(3F)4p,c2D-y4G,5/2-7/2,E1,3863.386,semi-forbidden,0.0013489628825916532,4,0.00230221081514763,c2D,K88,--
FeII-3865,Fe II,3864.579,8.956434,12.164654,29430.0,4.393885643042298e-05,6-4,(3D)4p-(3P)5s,w4F-4P,5/2-3/2,E1,3863.484,permitted,0.00026363313858253785,23,0.0008134947103106836,w4F,K88,--
FeII]-3865,Fe II,3865.047,4.737995,7.945827,220600.0,0.0007412078473810856,4-6,(1D)4s-(3F)4p,c2D-y4G,3/2-5/2,E1,3863.951,semi-forbidden,0.0029648313895243423,4,0.0056142520608961554,c2D,K88,--
FeII-3865,Fe II,3865.081,4.494789,7.702593,41660.0,6.220835963262011e-05,6-4,(3D)4s-(3P)4p,b2D-z2D,5/2-3/2,E1,3863.985,permitted,0.00037325015779572066,26,0.00027576508841653177,b2D,K88,--
FeII]-3866,Fe II,3865.72,8.959312,12.166586,14370.0,3.756805871178834e-05,12-14,(1G)4p-(3H)5s,x2H-e4H,11/2-13/2,E1,3864.624,semi-forbidden,0.00045081670454146005,11,0.06551135072478062,x2H,K88,--
FeII]-3866,Fe II,3865.829,2.029542,5.236725,3.323,7.445776794112637e-09,8-8,d7-(5D)4p,a2G-z6F,7/2-7/2,E1,3864.733,semi-forbidden,5.95662143529011e-08,110,1.3351557079616307e-06,a2G,K88,--
FeII]-3867,Fe II,3866.972,7.702593,10.908827,7838.0,2.635967240978148e-05,4-6,(3P)4p-(5D)4d,z2D-4P,3/2-5/2,E1,3865.876,semi-forbidden,0.00010543868963912592,65,0.000775294576337097,z2D,K88,--
FeII]-3869,Fe II,3868.689,4.479101,7.683912,5807.0,1.3029867777627e-05,4-4,(3D)4s-(6S)sp,b2D-y6P,3/2-3/2,E1,3867.593,semi-forbidden,5.2119471110508e-05,26,6.015122909764986e-05,b2D,K88,--
FeII]-3870,Fe II,3870.073,6.208622,9.412287,4694.0,1.581029628440549e-05,4-6,(3F)4s-(3D)4p,c4F-w2F,3/2-5/2,E1,3868.976,semi-forbidden,6.324118513762196e-05,41,3.8856241358988455e-05,c4F,K88,--
FeII]-3873,Fe II,3872.675,9.143994,12.345506,957400.0,0.002152781734724373,10-10,(1I)4p-(3F)5s,w2H-f4F,9/2-9/2,E1,3871.578,semi-forbidden,0.021527817347243728,14,0.11833864108279463,w2H,K88,--
FeII-3874,Fe II,3873.864,2.70435,5.904881,107400.0,0.00012076470050994321,4-2,(3P)4s-(5D)4p,b4P-z4P,3/2-1/2,E1,3872.766,permitted,0.00048305880203977283,70,0.00028136453286755535,b4P,K88,--
FeII]-3874,Fe II,3874.077,4.494789,7.695144,1323.0,3.970532448931149e-06,6-8,(3D)4s-(3F)4p,b2D-4F,5/2-7/2,E1,3872.979,semi-forbidden,2.382319469358689e-05,26,3.5567111430607194e-05,b2D,K88,--
FeII]-3877,Fe II,3876.554,4.494789,7.693099,935.6,2.10789391245192e-06,6-6,(3D)4s-(6S)sp,b2D-y6P,5/2-5/2,E1,3875.455,semi-forbidden,1.2647363474711522e-05,26,1.4201635416685545e-05,b2D,K88,--
FeII-3877,Fe II,3876.943,9.007685,12.205674,32820.0,9.245065938227977e-05,8-10,(3D)4p-(3H)5s,w4D-e4H,7/2-9/2,E1,3875.844,permitted,0.0007396052750582382,22,0.0027938894210523665,w4D,K88,--
FeII]-3880,Fe II,3880.115,6.216913,9.412287,9382.0,2.117623508680903e-05,6-6,(3F)4s-(3D)4p,c4F-w2F,5/2-5/2,E1,3879.016,semi-forbidden,0.00012705741052085418,41,5.164082926073069e-05,c4F,K88,--
