key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,references,note,wave_air,ion_tex,ion_tex_lambda,classification,gf,multiplet,line_ratio
[FeII]-4270,[Fe II],4269.881,1.04046986,3.9441623,0.02,5.5e-11,6-6,3d6(5D)4s-3d7,a4D-b2F,5/2-5/2,M1,NIST,,4268.679161322355,$[$Fe II$]$,"$[$Fe II$]\,\lambda4270$",forbidden,3.3e-10,25,0.23920274200329927
[FeII]-4278,[Fe II],4278.04,0.30129858,3.19945278,0.826,2.83e-09,8-10,3d7-3d6(3G)4s,a4F-a4G,7/2-9/2,E2,NIST,,4276.836486924374,$[$Fe II$]$,"$[$Fe II$]\,\lambda4278$",forbidden,2.264e-08,48,0.17421814481747463
[FeII]-4289,[Fe II],4288.6,0.0,2.8910183,1.55,2.56e-09,10-6,3d6(5D)4s-3d54s2,a6D-a6S,9/2-5/2,E2,NIST,,4287.393221250128,$[$Fe II$]$,"$[$Fe II$]\,\lambda4289$",forbidden,2.5599999999999998e-08,14,0.224718047811546
[FeII]-4307,[Fe II],4307.109,0.35186476,3.23045937,0.299,8.32e-10,6-6,3d7-3d6(3G)4s,a4F-a4G,5/2-5/2,E2,NIST,,4305.897474540939,$[$Fe II$]$,"$[$Fe II$]\,\lambda4307$",forbidden,4.992e-09,48,0.029049042863681557
[FeII]-4321,[Fe II],4320.837,0.35186476,3.22131344,0.539,2.01e-09,6-8,3d7-3d6(3G)4s,a4F-a4G,5/2-7/2,E2,NIST,,4319.622063769132,$[$Fe II$]$,"$[$Fe II$]\,\lambda4321$",forbidden,1.206e-08,48,0.09367130680594093
[FeII]-4323,[Fe II],4323.138,1.07624119,3.9441623,0.0109,4.6e-11,4-6,3d6(5D)4s-3d7,a4D-b2F,3/2-5/2,M1,NIST,,4321.922958337945,$[$Fe II$]$,"$[$Fe II$]\,\lambda4323$",forbidden,1.84e-10,25,0.19275751271086247
[FeII]-4331,[Fe II],4330.646,1.04046986,3.90341906,0.0196,7.3e-11,6-8,3d6(5D)4s-3d6(3D)4s,a4D-b4D,5/2-7/2,M1,NIST,,4329.428683180729,$[$Fe II$]$,"$[$Fe II$]\,\lambda4331$",forbidden,4.3800000000000004e-10,16,0.3985151963635699
[FeII]-4348,[Fe II],4348.081,0.30129858,3.15276806,0.246,1.05e-09,8-12,3d7-3d6(3G)4s,a4F-a4G,7/2-11/2,E2,NIST,,4346.858795295306,$[$Fe II$]$,"$[$Fe II$]\,\lambda4348$",forbidden,8.4e-09,48,0.07799148736454653
[FeII]-4353,[Fe II],4353.031,1.04046986,3.88869686,0.017,3.22e-11,6-4,3d6(5D)4s-3d6(3D)4s,a4D-b4D,5/2-3/2,M1,NIST,,4351.807492442866,$[$Fe II$]$,"$[$Fe II$]\,\lambda4353$",forbidden,1.9320000000000002e-10,16,0.08803398045087249
[FeII]-4354,[Fe II],4354.008,0.35186476,3.19945278,0.358,1.7e-09,6-10,3d7-3d6(3G)4s,a4F-a4G,5/2-9/2,E2,NIST,,4352.784035332333,$[$Fe II$]$,"$[$Fe II$]\,\lambda4354$",forbidden,1.0199999999999999e-08,48,0.09927107513667223
[FeII]-4357,[Fe II],4357.374,0.35186476,3.19725263,0.0119,2.3e-11,6-4,3d7-3d6(3P2)4s,a4F-b2P,5/2-3/2,E2,NIST,,4356.149749149334,$[$Fe II$]$,"$[$Fe II$]\,\lambda4357$",forbidden,1.3800000000000001e-10,52,0.7761327093927012
[FeII]-4360,[Fe II],4359.592,0.38651921,3.23045937,0.717,3.06e-09,4-6,3d7-3d6(3G)4s,a4F-a4G,3/2-5/2,E2,NIST,,4358.367365226734,$[$Fe II$]$,"$[$Fe II$]\,\lambda4360$",forbidden,1.224e-08,48,0.10302674391184116
[FeII]-4361,[Fe II],4360.557,0.04770753,2.8910183,1.15,2.46e-09,8-6,3d6(5D)4s-3d54s2,a6D-a6S,7/2-5/2,E2,NIST,,4359.332131185738,$[$Fe II$]$,"$[$Fe II$]\,\lambda4361$",forbidden,1.968e-08,14,0.2054252458454405
[FeII]-4374,[Fe II],4373.658,0.38651921,3.22131344,0.275,1.58e-09,4-8,3d7-3d6(3G)4s,a4F-a4G,3/2-7/2,E2,NIST,,4372.429062066861,$[$Fe II$]$,"$[$Fe II$]\,\lambda4374$",forbidden,6.32e-09,48,0.07099647685397045
[FeII]-4384,[Fe II],4383.976,0.0,2.82812245,0.0605,1.39e-10,10-8,3d6(5D)4s-3d6(3F2)4s,a6D-b4F,9/2-7/2,M1,NIST,,4382.7441549664745,$[$Fe II$]$,"$[$Fe II$]\,\lambda4384$",forbidden,1.3900000000000002e-09,20,0.03309969292582881
[FeII]-4404,[Fe II],4403.83,1.07624119,3.89161339,0.0176,7.7e-11,4-6,3d6(5D)4s-3d6(3D)4s,a4D-b4D,3/2-5/2,M1,NIST,,4402.59301513538,$[$Fe II$]$,"$[$Fe II$]\,\lambda4404$",forbidden,3.08e-10,16,0.30394165784322763
[FeII]-4415,[Fe II],4415.02,0.08278213,2.8910183,0.85,2.48e-09,6-6,3d6(5D)4s-3d54s2,a6D-a6S,5/2-5/2,E2,NIST,,4413.780716544219,$[$Fe II$]$,"$[$Fe II$]\,\lambda4415$",forbidden,1.4880000000000002e-08,14,0.19952543523747523
