key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
TiI-3708,Ti I,3707.682,2.231156,5.575138,744400.0,0.004602565735813558,1-3,(2P)4s-(4F)5p,b3P-n3D,0-1,E1,3706.627,permitted,0.004602565735813558,34,0.005146342535514451,b3P,K,--
TiI-3708,Ti I,3708.013,2.092248,5.435931,882600.0,0.002547006162033323,5-7,(3F)sp-(4F)4d,z5F-f5H,2-3,E1,3706.958,permitted,0.012735030810166616,46,0.003563084691821858,z5F,K,--
FeI]-3708,Fe I,3708.092,2.998045,6.341656,30680000.0,0.045175395145262566,7-5,5Dsp3P-s6D)4d,z7P-e5S,3-2,E1,3707.037,semi-forbidden,0.31622776601683794,112,0.07319539518598406,z7P,K94,--
FeI-3708,Fe I,3708.101,2.998045,6.341648,50430000.0,0.10396854350526057,7-7,5Dsp3P-s6D)4d,z7P-e7F,3-3,E1,3707.046,permitted,0.727779804536824,112,0.23583958229056096,z7P,K94,--
FeI]-3708,Fe I,3708.364,3.332019,6.675386,331000.0,0.0008065054654890553,11-13,5Dsp3P-(4F)4d,z5F-e3H,5-6,E1,3707.309,semi-forbidden,0.008871560120379608,108,0.002981506918557517,z5F,K94,--
FeI-3708,Fe I,3708.396,3.017622,6.36096,196100.0,0.0005198786230388672,7-9,4s2-a2D)4p,b3G-v3F,3-4,E1,3707.341,permitted,0.0036391503612720707,98,0.009627873183057028,b3G,K94,--
TiI]-3708,Ti I,3708.448,2.160283,5.503574,40620.0,8.375871302358365e-05,5-5,2D2)4s-(4F)5p,a3D-5D,2-2,E1,3707.393,semi-forbidden,0.00041879356511791827,77,7.575450273417969e-05,a3D,K,--
FeI]-3709,Fe I,3708.511,2.559171,5.902405,798600.0,0.0020126001029106694,9-11,4s2-3Gsp3P,b3F-v5F,4-5,E1,3707.456,semi-forbidden,0.018113400926196024,97,0.05254372112356413,b3F,O,--
TiI-3709,Ti I,3708.534,2.117062,5.460276,16580000.0,0.03417885349711898,9-9,(3F)sp-(4F)4d,z5F-f5F,4-4,E1,3707.479,permitted,0.3076096814740708,46,0.05807328308440293,z5F,K,--
TiI-3709,Ti I,3708.579,2.016911,5.360083,7879000.0,0.013292519767788348,11-9,(3F)sp-s4F)4d,z5G-g5F,5-4,E1,3707.524,permitted,0.14621771744567183,47,0.018264943811651606,z5G,K,--
