Title: Predicted Fe II Emission-Line Strengths from Active Galactic Nuclei 
Authors: Sigut T.A.A., Pradhan A.K. 2003
Table: Fe II fluxes for model A with Ly{alpha} and Ly{beta} pumping
================================================================================
Byte-by-byte Description of file: datafile3.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  9 F9.3   0.1nm   Wave   Wavelength in Angstroms
  11- 24 A14    ---     ULev   Upper level
  26- 39 A14    ---     LLev   Lower level
  41- 46 F6.3   eV      El     Energy of the LLev 
  48- 52 I5     mW/m2   Flux   Predicted flux in units of erg/cm^2^/s
--------------------------------------------------------------------------------
 2484.447 e^4^D^e^_7/2_  z^4^D^o^_7/2_   5.508  1950 
 2485.010 v^4^F^o^_9/2_  c^4^F^e^_9/2_   6.216  1750 
 2485.075 z^6^P^o^_7/2_  a^4^F^e^_7/2_   0.301  1480 
 2486.889 v^4^F^o^_9/2_  c^4^F^e^_7/2_   6.220   548 
 2489.485 z^4^I^o^_11/2_ a^4^H^e^_11/2_  2.656   622 
 2493.185 z^4^I^o^_13/2_ a^4^H^e^_11/2_  2.656   906 
 2493.260 z^4^I^o^_15/2_ a^4^H^e^_13/2_  2.634  3060 
 2493.881 e^4^D^e^_5/2_  z^4^D^o^_5/2_   5.550   814 
 2498.896 z^4^I^o^_11/2_ a^4^H^e^_9/2_   2.675   760 
 2503.325 z^2^H^o^_11/2_ a^4^G^e^_11/2_  3.151   623 
 2505.216 z^6^F^o^_5/2_  a^4^F^e^_7/2_   0.301  3140 
 2506.094 X^4^G^o^_9/2_  a^4^G^e^_9/2_   3.198   558 
 2506.797 X^6^F^o^_9/2_  c^4^F^e^_7/2_   6.220   881 
 2507.598 b^6^D^e^_3/2_  z^6^D^o^_5/2_   4.816  1280 
 2507.687 b^6^D^e^_5/2_  z^6^D^o^_7/2_   4.791  3560 
 2509.864 b^6^D^e^_1/2_  z^6^D^o^_3/2_   4.835   520 
 2511.370 z^6^F^o^_7/2_  a^4^F^e^_7/2_   0.301  3880 
 2511.767 z^4^I^o^_9/2_  a^4^H^e^_7/2_   2.691   626 
 2513.153 b^6^D^e^_7/2_  z^6^D^o^_9/2_   4.766  3870 
 2520.266 b^6^D^e^_5/2_  z^6^D^o^_5/2_   4.816  2290 
 2523.442 b^6^D^e^_3/2_  z^6^D^o^_1/2_   4.847  1190 
 2525.387 z^4^H^o^_13/2_ a^4^H^e^_13/2_  2.634   922 
 2525.920 b^6^D^e^_7/2_  z^6^D^o^_7/2_   4.791 11100 
 2526.291 y^4^P^o^_5/2_  b^4^P^e^_5/2_   2.582   779 
 2526.832 z^6^F^o^_3/2_  a^4^F^e^_5/2_   0.352  1160 
 2529.230 X^4^G^o^_9/2_  b^2^H^e^_11/2_  3.243   574 
 2529.546 y^4^F^o^_9/2_  b^4^F^e^_9/2_   2.805   537 
 2530.101 b^6^D^e^_5/2_  z^6^D^o^_3/2_   4.835  5930 
 2533.626 z^4^H^o^_11/2_ a^4^H^e^_11/2_  2.656   760 
 2536.844 z^4^H^o^_13/2_ a^4^H^e^_11/2_  2.656   860 
 2537.141 b^6^D^e^_9/2_  z^6^D^o^_9/2_   4.766  3430 
 2538.682 b^6^D^e^_7/2_  z^6^D^o^_5/2_   4.816 10900 
 2538.993 z^4^G^o^_11/2_ a^4^H^e^_13/2_  2.634   809 
 2542.320 z^6^F^o^_1/2_  a^4^F^e^_3/2_   0.386   762 
 2543.374 z^4^H^o^_11/2_ a^4^H^e^_9/2_   2.675   608 
 2550.153 b^6^D^e^_9/2_  z^6^D^o^_7/2_   4.791  1200 
 2562.535 z^4^P^o^_5/2_  a^4^D^e^_7/2_   0.986  3640 
 2563.479 z^4^P^o^_3/2_  a^4^D^e^_5/2_   1.040  1990 
 2566.911 z^4^P^o^_1/2_  a^4^D^e^_3/2_   1.076  1640 
 2574.368 z^4^S^o^_3/2_  b^4^P^e^_5/2_   2.582   830 
 2577.921 z^4^P^o^_1/2_  a^4^D^e^_1/2_   1.096  1640 
 2579.120 a^4^S^e^_3/2_  z^4^P^o^_5/2_   5.821   786 
 2582.587 z^4^P^o^_3/2_  a^4^D^e^_3/2_   1.076  1890 
 2585.878 z^6^D^o^_7/2_  a^6^D^e^_9/2_   0.000 12100 
 2591.543 z^4^P^o^_5/2_  a^4^D^e^_5/2_   1.040  3880 
 2592.782 z^2^K^o^_15/2_ a^2^I^e^_13/2_  4.074   731 
 2593.732 z^4^P^o^_3/2_  a^4^D^e^_1/2_   1.096  1620 
 2598.369 z^6^D^o^_5/2_  a^6^D^e^_7/2_   0.048  7460 
 2599.396 z^6^D^o^_9/2_  a^6^D^e^_9/2_   0.000 13800 
 2607.091 z^6^D^o^_3/2_  a^6^D^e^_5/2_   0.083  5300 
 2611.072 z^4^P^o^_5/2_  a^4^D^e^_3/2_   1.076  3520 
 2611.876 z^6^D^o^_7/2_  a^6^D^e^_7/2_   0.048 11900 
 2613.826 z^6^D^o^_1/2_  a^6^D^e^_3/2_   0.107  4090 
 2617.617 z^6^D^o^_5/2_  a^6^D^e^_5/2_   0.083  8150 
 2620.413 z^6^D^o^_3/2_  a^6^D^e^_3/2_   0.107  4660 
 2621.671 z^6^D^o^_1/2_  a^6^D^e^_1/2_   0.121  4260 
 2625.059 u^4^F^o^_3/2_  b^4^G^e^_5/2_   6.727   751 
 2625.490 z^2^K^o^_13/2_ a^2^I^e^_11/2_  4.079   552 
 2625.668 z^6^D^o^_9/2_  a^6^D^e^_7/2_   0.048 16200 
 2628.298 z^6^D^o^_3/2_  a^6^D^e^_1/2_   0.121  5480 
 2631.047 z^6^D^o^_5/2_  a^6^D^e^_3/2_   0.107  7840 
 2631.325 z^6^D^o^_7/2_  a^6^D^e^_5/2_   0.083 12800 
 2631.604 z^4^G^o^_11/2_ b^4^F^e^_9/2_   2.805   720 
 2650.486 e^4^D^e^_7/2_  z^4^P^o^_5/2_   5.821  1280 
 2669.930 v^4^D^o^_3/2_  c^4^P^e^_1/2_   6.085   570 
 2681.041 v^4^D^o^_1/2_  c^4^P^e^_1/2_   6.085   921 
 2692.604 y^2^H^o^_11/2_ b^2^G^e^_9/2_   3.766   510 
 2692.834 z^4^F^o^_5/2_  a^4^D^e^_7/2_   0.986  2560 
 2699.194 v^4^D^o^_3/2_  c^4^P^e^_3/2_   6.136   640 
 2709.381 z^4^F^o^_3/2_  a^4^D^e^_5/2_   1.040  1830 
 2710.550 v^4^D^o^_1/2_  c^4^P^e^_3/2_   6.136   954 
 2711.841 z^2^I^o^_13/2_ a^4^G^e^_11/2_  3.151  1070 
 2714.411 z^4^D^o^_5/2_  a^4^D^e^_7/2_   0.986  2720 
 2716.564 d^2^H^e^_11/2_ z^2^I^o^_13/2_  7.720   753 
 2716.694 z^4^F^o^_7/2_  a^4^D^e^_7/2_   0.986  2620 
 2717.520 v^4^F^o^_5/2_  b^4^G^e^_7/2_   6.727   812 
 2717.966 d^4^D^e^_7/2_  z^6^P^o^_7/2_   5.287  2000 
 2718.640 v^4^D^o^_7/2_  c^4^F^e^_9/2_   6.216  1100 
 2720.889 v^4^D^o^_7/2_  c^4^F^e^_7/2_   6.220   617 
 2724.885 z^4^F^o^_5/2_  a^4^D^e^_5/2_   1.040  3300 
 2727.537 z^4^D^o^_3/2_  a^4^D^e^_5/2_   1.040  2310 
 2727.937 d^4^D^e^_5/2_  z^6^P^o^_5/2_   5.359   639 
 2729.588 v^4^D^o^_5/2_  c^4^F^e^_5/2_   6.214   949 
 2730.735 z^4^F^o^_3/2_  a^4^D^e^_3/2_   1.076  2830 
 2732.446 z^6^D^o^_9/2_  a^4^F^e^_9/2_   0.232 11200 
 2732.946 v^4^D^o^_5/2_  c^4^F^e^_7/2_   6.220  1360 
 2736.962 z^4^D^o^_1/2_  a^4^D^e^_3/2_   1.076  1640 
 2738.393 v^4^F^o^_7/2_  b^4^G^e^_9/2_   6.726  1680 
 2739.546 z^4^D^o^_7/2_  a^4^D^e^_7/2_   0.986  5610 
 2741.310 v^4^D^o^_3/2_  c^4^F^e^_3/2_   6.206  1340 
 2743.198 z^4^F^o^_3/2_  a^4^D^e^_1/2_   1.096  2830 
 2743.225 b^6^D^e^_1/2_  z^6^F^o^_3/2_   5.255   511 
 2746.128 b^6^D^e^_1/2_  z^6^F^o^_1/2_   5.260   596 
 2746.351 v^4^D^o^_3/2_  c^4^F^e^_5/2_   6.214  1830 
 2746.484 z^4^F^o^_5/2_  a^4^D^e^_3/2_   1.076  3150 
 2746.981 z^4^D^o^_5/2_  a^4^D^e^_5/2_   1.040  2950 
 2747.121 b^6^D^e^_3/2_  z^6^F^o^_5/2_   5.247  2040 
 2749.178 z^4^D^o^_3/2_  a^4^D^e^_3/2_   1.076  2260 
 2749.319 z^4^F^o^_7/2_  a^4^D^e^_5/2_   1.040  5900 
 2749.482 z^4^D^o^_1/2_  a^4^D^e^_1/2_   1.096  1610 
 2749.484 u^2^F^o^_5/2_  c^4^F^e^_7/2_   6.220   887 
 2752.151 b^6^D^e^_3/2_  z^6^F^o^_3/2_   5.255  1500 
 2753.024 v^4^D^o^_1/2_  c^4^F^e^_3/2_   6.206  2460 
 2753.291 z^2^I^o^_11/2_ b^2^H^e^_9/2_   3.266   606 
 2754.889 b^6^D^e^_5/2_  z^6^F^o^_7/2_   5.235  7350 
 2755.739 z^4^F^o^_9/2_  a^4^D^e^_7/2_   0.986  8920 
 2761.811 z^4^D^o^_3/2_  a^4^D^e^_1/2_   1.096  1970 
 2762.332 b^6^D^e^_5/2_  z^6^F^o^_5/2_   5.247  3270 
 2765.099 v^4^F^o^_9/2_  b^4^G^e^_11/2_  6.721  1600 
 2767.418 b^6^D^e^_5/2_  z^6^F^o^_3/2_   5.255   668 
 2767.502 z^2^I^o^_13/2_ b^2^H^e^_11/2_  3.243  1150 
 2767.519 b^6^D^e^_7/2_  z^6^F^o^_9/2_   5.219 20200 
 2768.933 z^4^D^o^_5/2_  a^4^D^e^_3/2_   1.076  2260 
 2769.353 z^4^I^o^_13/2_ a^4^G^e^_11/2_  3.151   696 
 2776.909 b^6^D^e^_7/2_  z^6^F^o^_7/2_   5.235  5580 
 2785.195 b^6^D^e^_9/2_  z^6^F^o^_11/2_  5.201  1440 
 2787.240 b^6^D^e^_5/2_  z^6^P^o^_7/2_   5.287  1150 
 2789.733 X^6^F^o^_9/2_  b^4^G^e^_11/2_  6.721   565 
 2809.782 b^6^D^e^_7/2_  z^6^P^o^_7/2_   5.287  2980 
 2820.954 d^4^D^e^_5/2_  z^4^D^o^_7/2_   5.508   862 
 2824.566 d^4^D^e^_3/2_  z^4^D^o^_5/2_   5.550  2980 
 2831.881 d^4^D^e^_1/2_  z^4^D^o^_3/2_   5.582  2830 
 2833.087 b^6^D^e^_5/2_  z^6^P^o^_5/2_   5.359  2350 
 2839.507 d^4^D^e^_7/2_  z^4^F^o^_9/2_   5.482 47700 
 2839.800 b^6^D^e^_9/2_  z^6^P^o^_7/2_   5.287  1250 
 2844.961 d^4^D^e^_1/2_  z^4^D^o^_1/2_   5.603  4140 
 2845.423 d^4^D^e^_3/2_  z^4^D^o^_3/2_   5.582 12900 
 2845.601 d^4^D^e^_5/2_  z^4^F^o^_7/2_   5.546 48000 
 2847.772 b^6^D^e^_3/2_  z^6^P^o^_3/2_   5.406   646 
 2848.110 d^4^D^e^_5/2_  z^4^D^o^_5/2_   5.550 21600 
 2848.315 d^4^D^e^_3/2_  z^4^F^o^_5/2_   5.587 23900 
 2851.721 d^4^D^e^_1/2_  z^4^F^o^_3/2_   5.613 17900 
 2856.380 b^6^D^e^_7/2_  z^6^P^o^_5/2_   5.359  4930 
 2856.908 d^4^D^e^_7/2_  z^4^D^o^_7/2_   5.508 42500 
 2858.629 d^4^D^e^_3/2_  z^4^D^o^_1/2_   5.603  6990 
 2861.171 z^6^P^o^_3/2_  a^4^D^e^_3/2_   1.076   960 
 2864.121 b^6^D^e^_5/2_  z^6^P^o^_3/2_   5.406  1710 
 2865.454 d^4^D^e^_3/2_  z^4^F^o^_3/2_   5.613  4550 
 2868.875 z^6^P^o^_5/2_  a^4^D^e^_5/2_   1.040  2340 
 2869.317 d^4^D^e^_5/2_  z^4^D^o^_3/2_   5.582 10200 
 2872.258 d^4^D^e^_5/2_  z^4^F^o^_5/2_   5.587  3490 
 2874.856 z^6^P^o^_3/2_  a^4^D^e^_1/2_   1.096   853 
 2880.759 z^6^P^o^_7/2_  a^4^D^e^_7/2_   0.986  3450 
 2882.190 d^4^D^e^_7/2_  z^4^F^o^_7/2_   5.546   876 
 2883.705 z^4^H^o^_13/2_ b^2^H^e^_11/2_  3.243   635 
 2884.764 d^4^D^e^_7/2_  z^4^D^o^_5/2_   5.550  6860 
 2892.827 z^6^P^o^_5/2_  a^4^D^e^_3/2_   1.076  2080 
 2907.859 z^6^F^o^_5/2_  a^4^D^e^_7/2_   0.986  5240 
 2917.470 z^6^P^o^_7/2_  a^4^D^e^_5/2_   1.040  2670 
 2922.027 X^4^G^o^_9/2_  b^4^D^e^_7/2_   3.902   612 
 2926.580 z^6^F^o^_9/2_  a^4^D^e^_7/2_   0.986 21400 
 2939.508 z^6^F^o^_3/2_  a^4^D^e^_5/2_   1.040  1620 
 2944.392 z^4^P^o^_1/2_  a^4^P^e^_3/2_   1.695  2040 
 2947.660 z^4^P^o^_3/2_  a^4^P^e^_5/2_   1.670  2100 
 2953.777 z^6^F^o^_7/2_  a^4^D^e^_5/2_   1.040  7960 
 2961.277 z^6^F^o^_1/2_  a^4^D^e^_3/2_   1.076  1420 
 2964.620 z^4^P^o^_1/2_  a^4^P^e^_1/2_   1.723  2110 
 2964.659 z^6^F^o^_3/2_  a^4^D^e^_3/2_   1.076  1600 
 2965.035 z^4^P^o^_3/2_  a^4^P^e^_3/2_   1.695  2050 
 2970.518 z^6^F^o^_5/2_  a^4^D^e^_3/2_   1.076  6050 
 2975.939 z^6^F^o^_1/2_  a^4^D^e^_1/2_   1.096  1460 
 2979.355 z^6^F^o^_3/2_  a^4^D^e^_1/2_   1.096  2120 
 2984.824 z^4^P^o^_5/2_  a^4^P^e^_5/2_   1.670  4610 
 2985.089 v^4^P^o^_5/2_  d^4^P^e^_5/2_   7.115   560 
 2985.294 u^4^P^o^_3/2_  d^4^P^e^_5/2_   7.115  1630 
 2985.548 z^4^P^o^_3/2_  a^4^P^e^_1/2_   1.723  2160 
 3002.642 z^4^P^o^_5/2_  a^4^P^e^_3/2_   1.695  4820 
 3010.212 d^4^D^e^_3/2_  z^4^P^o^_5/2_   5.821   970 
 3016.122 u^4^D^o^_5/2_  d^4^P^e^_3/2_   7.125   503 
 3033.437 d^4^D^e^_1/2_  z^4^P^o^_3/2_   5.873  1100 
 3036.967 d^4^D^e^_5/2_  z^4^P^o^_5/2_   5.821  4620 
 3048.981 d^4^D^e^_3/2_  z^4^P^o^_3/2_   5.873  5700 
 3055.352 d^4^D^e^_1/2_  z^4^P^o^_1/2_   5.902  4660 
 3071.122 d^4^D^e^_3/2_  z^4^P^o^_1/2_   5.902  3840 
 3076.432 d^4^D^e^_5/2_  z^4^P^o^_3/2_   5.873  7970 
 3078.678 d^4^D^e^_7/2_  z^4^P^o^_5/2_   5.821 19000 
 3161.976 z^4^F^o^_3/2_  a^4^P^e^_3/2_   1.695  2760 
 3163.096 z^4^F^o^_5/2_  a^4^P^e^_5/2_   1.670  3530 
 3166.670 z^4^D^o^_3/2_  a^4^P^e^_5/2_   1.670  1590 
 3170.329 z^4^D^o^_1/2_  a^4^P^e^_3/2_   1.695  1460 
 3183.112 z^4^F^o^_5/2_  a^4^P^e^_3/2_   1.695  4130 
 3185.316 z^4^F^o^_3/2_  a^4^P^e^_1/2_   1.723  3060 
 3186.731 z^4^D^o^_3/2_  a^4^P^e^_3/2_   1.695  2280 
 3192.908 z^4^D^o^_5/2_  a^4^P^e^_5/2_   1.670  2550 
 3193.792 z^4^D^o^_1/2_  a^4^P^e^_1/2_   1.723  1710 
 3196.067 z^4^F^o^_7/2_  a^4^P^e^_5/2_   1.670  5900 
 3210.439 z^4^D^o^_3/2_  a^4^P^e^_1/2_   1.723  2300 
 3213.304 z^4^D^o^_5/2_  a^4^P^e^_3/2_   1.695  2910 
 3227.741 z^4^D^o^_7/2_  a^4^P^e^_5/2_   1.670  6720 
 3255.889 z^6^D^o^_7/2_  a^4^D^e^_7/2_   0.986 25900 
 3277.348 z^6^D^o^_9/2_  a^4^D^e^_7/2_   0.986 22500 
 3281.291 z^6^D^o^_5/2_  a^4^D^e^_5/2_   1.040 10100 
 3295.823 z^6^D^o^_3/2_  a^4^D^e^_3/2_   1.076  4090 
 3303.467 z^6^D^o^_1/2_  a^4^D^e^_1/2_   1.096  5380 
 3416.011 z^4^P^o^_1/2_  a^2^P^e^_3/2_   2.275  2370 
 3443.827 z^4^P^o^_3/2_  a^2^P^e^_3/2_   2.275  1520 
 3494.664 z^4^P^o^_5/2_  a^2^P^e^_3/2_   2.275  4960 
 3507.405 z^4^P^o^_3/2_  a^2^P^e^_1/2_   2.341  1420 
 3508.202 z^6^F^o^_3/2_  a^4^P^e^_1/2_   1.723  2270 
 3764.108 z^4^P^o^_3/2_  b^4^P^e^_5/2_   2.582  2050 
 3783.336 z^4^D^o^_5/2_  a^2^P^e^_3/2_   2.275  2320 
 3872.761 z^4^P^o^_1/2_  b^4^P^e^_3/2_   2.703  1610 
 3914.513 z^6^D^o^_3/2_  a^4^P^e^_5/2_   1.670  5300 
 3938.290 z^6^D^o^_5/2_  a^4^P^e^_5/2_   1.670 14400 
 3945.214 z^6^D^o^_3/2_  a^4^P^e^_3/2_   1.695  4960 
 4002.098 z^4^P^o^_3/2_  b^4^P^e^_1/2_   2.777  1000 
 4173.452 z^4^D^o^_5/2_  b^4^P^e^_5/2_   2.582  4080 
 4178.850 z^4^F^o^_7/2_  b^4^P^e^_5/2_   2.582  7650 
 4233.163 z^4^D^o^_7/2_  b^4^P^e^_5/2_   2.582  9990 
 4258.153 z^4^F^o^_3/2_  b^4^P^e^_3/2_   2.703  2130 
 4273.314 z^4^D^o^_1/2_  b^4^P^e^_3/2_   2.703  1080 
 4296.572 z^4^F^o^_5/2_  b^4^P^e^_3/2_   2.703  4490 
 4303.168 z^4^D^o^_3/2_  b^4^P^e^_3/2_   2.703  3290 
 4351.762 z^4^D^o^_5/2_  b^4^P^e^_3/2_   2.703  4340 
 4369.420 z^4^F^o^_3/2_  b^4^P^e^_1/2_   2.777  1230 
 4385.385 z^4^D^o^_1/2_  b^4^P^e^_1/2_   2.777  2470 
 4416.831 z^4^D^o^_3/2_  b^4^P^e^_1/2_   2.777  3120 
 4489.179 z^4^F^o^_5/2_  b^4^F^e^_7/2_   2.827  4420 
 4491.414 z^4^F^o^_3/2_  b^4^F^e^_3/2_   2.854  4760 
 4508.284 z^4^D^o^_1/2_  b^4^F^e^_3/2_   2.854  2780 
 4515.345 z^4^F^o^_5/2_  b^4^F^e^_5/2_   2.843  6500 
 4520.207 z^4^F^o^_7/2_  b^4^F^e^_9/2_   2.805  7020 
 4522.631 z^4^D^o^_3/2_  b^4^F^e^_5/2_   2.843  3780 
 4541.524 z^4^D^o^_3/2_  b^4^F^e^_3/2_   2.854  1960 
 4549.462 z^4^D^o^_5/2_  b^4^F^e^_7/2_   2.827  4510 
 4555.878 z^4^F^o^_7/2_  b^4^F^e^_7/2_   2.827  8370 
 4576.339 z^4^D^o^_5/2_  b^4^F^e^_5/2_   2.843  2360 
 4582.831 z^4^F^o^_7/2_  b^4^F^e^_5/2_   2.843  4380 
 4583.822 z^4^D^o^_7/2_  b^4^F^e^_9/2_   2.805 10200 
 4629.337 z^4^F^o^_9/2_  b^4^F^e^_9/2_   2.805 19500 
 4923.941 z^6^P^o^_3/2_  a^6^S^e^_5/2_   2.890  2880 
 5018.443 z^6^P^o^_5/2_  a^6^S^e^_5/2_   2.890  5330 
 5169.046 z^6^P^o^_7/2_  a^6^S^e^_5/2_   2.890  5970 
 5197.593 z^4^F^o^_3/2_  a^4^G^e^_5/2_   3.229  6560 
 5234.626 z^4^F^o^_5/2_  a^4^G^e^_7/2_   3.220  7920 
 5264.818 z^4^D^o^_3/2_  a^4^G^e^_5/2_   3.229  1210 
 5275.977 z^4^F^o^_7/2_  a^4^G^e^_9/2_   3.198  9700 
 5284.117 z^6^F^o^_7/2_  a^6^S^e^_5/2_   2.890  8040 
 5316.621 z^4^F^o^_9/2_  a^4^G^e^_11/2_  3.151 23300 
 5316.776 z^4^D^o^_5/2_  a^4^G^e^_7/2_   3.220  2290 
 5325.541 z^4^F^o^_7/2_  a^4^G^e^_7/2_   3.220  6640 
 5362.847 z^4^D^o^_7/2_  a^4^G^e^_9/2_   3.198  6910 
 6147.738 z^4^P^o^_1/2_  b^4^D^e^_3/2_   3.887  1650 
 6149.232 z^4^P^o^_1/2_  b^4^D^e^_1/2_   3.888  1190 
 6238.419 z^4^P^o^_3/2_  b^4^D^e^_3/2_   3.887  1620 
 6247.574 z^4^P^o^_3/2_  b^4^D^e^_5/2_   3.890  1940 
 6317.982 c^4^D^e^_7/2_  z^4^D^o^_7/2_   5.508   581 
 6416.911 z^4^P^o^_5/2_  b^4^D^e^_5/2_   3.890  2830 
 6456.385 z^4^P^o^_5/2_  b^4^D^e^_7/2_   3.902  6240 
 7308.065 z^4^D^o^_3/2_  b^4^D^e^_3/2_   3.887   705 
 7462.391 z^4^D^o^_5/2_  b^4^D^e^_5/2_   3.890  1370 
 7711.720 z^4^D^o^_7/2_  b^4^D^e^_7/2_   3.902  3090 
 7970.398 v^4^F^o^_7/2_  b^6^D^e^_7/2_   9.696   718 
 7981.850 v^4^F^o^_9/2_  b^6^D^e^_9/2_   9.650   962 
 8157.529 v^4^F^o^_7/2_  b^6^D^e^_5/2_   9.732  1200 
 8190.607 X^6^F^o^_9/2_  b^6^D^e^_9/2_   9.650  1000 
 8228.930 v^4^F^o^_9/2_  b^6^D^e^_7/2_   9.696  4600 
 8287.545 X^6^F^o^_7/2_  b^6^D^e^_7/2_   9.696  1770 
 8357.184 X^6^F^o^_5/2_  b^6^D^e^_5/2_   9.732   822 
 8420.526 u^4^D^o^_7/2_  b^6^D^e^_5/2_   9.732   675 
 8450.990 X^6^F^o^_9/2_  b^6^D^e^_7/2_   9.696 11600 
 8490.054 X^6^F^o^_7/2_  b^6^D^e^_5/2_   9.732  5560 
 8499.559 X^6^F^o^_5/2_  b^6^D^e^_3/2_   9.757  1200 
 8722.372 v^4^P^o^_5/2_  d^4^D^e^_7/2_   9.845  1660 
 8926.638 u^4^D^o^_5/2_  d^4^D^e^_7/2_   9.845  8680 
 9075.501 v^4^P^o^_5/2_  d^4^D^e^_5/2_   9.900  6800 
 9077.400 u^4^P^o^_3/2_  d^4^D^e^_5/2_   9.900  4440 
 9122.942 u^4^D^o^_7/2_  d^4^D^e^_7/2_   9.845 11900 
 9132.362 v^4^F^o^_9/2_  d^4^D^e^_7/2_   9.845 13300 
 9175.869 v^4^F^o^_7/2_  d^4^D^e^_5/2_   9.900 16600 
 9178.088 v^4^F^o^_5/2_  d^4^D^e^_3/2_   9.937 11500 
 9196.897 u^4^D^o^_3/2_  d^4^D^e^_3/2_   9.937  5240 
 9203.122 v^4^F^o^_3/2_  d^4^D^e^_1/2_   9.957  7440 
 9204.610 X^6^F^o^_7/2_  d^4^D^e^_7/2_   9.845   538 
 9210.938 u^4^D^o^_1/2_  d^4^D^e^_1/2_   9.957  1960 
 9296.851 u^4^D^o^_5/2_  d^4^D^e^_5/2_   9.900  2470 
 9325.115 u^4^P^o^_3/2_  d^4^D^e^_3/2_   9.937   883 
 9377.042 u^4^P^o^_1/2_  d^4^D^e^_3/2_   9.937  1350 
 9406.669 X^6^F^o^_9/2_  d^4^D^e^_7/2_   9.845  2960 
 9572.625 d^4^P^e^_5/2_  z^4^P^o^_5/2_   5.821  2120 
 9812.027 d^4^P^e^_1/2_  z^4^P^o^_3/2_   5.873   887 
 9956.255 b^4^G^e^_9/2_  z^4^F^o^_9/2_   5.482   840 
 9997.556 b^4^G^e^_11/2_ z^4^F^o^_9/2_   5.482  5660 
10131.759 d^4^P^e^_3/2_  z^4^P^o^_1/2_   5.902  1540 
10173.509 b^4^G^e^_9/2_  z^4^D^o^_7/2_   5.508   656 
10491.000 b^4^G^e^_7/2_  z^4^F^o^_7/2_   5.546   756 
10501.521 b^4^G^e^_9/2_  z^4^F^o^_7/2_   5.546  6590 
10862.646 b^4^G^e^_7/2_  z^4^F^o^_5/2_   5.587  4080 
11125.573 b^4^G^e^_5/2_  z^4^F^o^_3/2_   5.613  2230 
17324.679 X^6^F^o^_9/2_  a^6^G^e^_11/2_ 10.447   612 
17865.205 v^4^F^o^_7/2_  c^4^G^e^_9/2_  10.557   783 
