--------------------------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air   log_gf   A-Value   Elem. Element E_lower_lev.   J   Config.    E_upper_lev.   J   Config.    Ref.
     / nm        / nm              / 1/s   (Code) (Name)      / eV     lower lower          / eV     upper upper          
   228.0671    227.9967  -0.290 9.395e+07  22.00 Ti I        0.047966   4.0 s2 a3F         5.484270   3.0 s4F)5p o3D MFW  
   228.2367    228.1663  -3.089 2.086e+05  22.00 Ti I        0.000000   2.0 s2 a3F         5.432262   2.0 (4F)5p 5G  K    
   228.3133    228.2428  -3.194 1.637e+05  22.00 Ti I        0.000000   2.0 s2 a3F         5.430442   2.0 a2D)4p u1D K    
   228.4338    228.3633  -4.549 3.283e+03  22.00 Ti I        0.047966   4.0 s2 a3F         5.475543   5.0 (1G)sp x1H K    
   228.4641    228.3936  -4.518 4.308e+03  22.00 Ti I        0.021094   3.0 s2 a3F         5.447951   4.0 (4F)5p 5G  K    
   228.4737    228.4032  -4.286 9.448e+03  22.00 Ti I        0.047966   4.0 s2 a3F         5.474596   3.0 s4F)5p t3G K    
   228.7824    228.7118  -2.972 4.531e+05  22.00 Ti I        0.000000   2.0 s2 a3F         5.419307   1.0 (2P)4p 1P  K    
   228.8428    228.7722  -3.104 1.432e+05  22.00 Ti I        0.021094   3.0 s2 a3F         5.438970   3.0 (4F)5p 5G  K    
   229.1246    229.0540  -3.879 1.526e+04  22.00 Ti I        0.047966   4.0 s2 a3F         5.459178   5.0 (4F)5p 5G  K    
   229.1265    229.0559  -4.817 3.873e+03  22.00 Ti I        0.021094   3.0 s2 a3F         5.432262   2.0 (4F)5p 5G  K    
   229.2036    229.1330  -2.270 1.364e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.430442   2.0 a2D)4p u1D K    
   229.4454    229.3747  -1.811 2.797e+06  22.00 Ti I        0.000000   2.0 s2 a3F         5.403647   3.0 s4F)5p r3F K    
   229.4912    229.4205  -1.783 2.319e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.423663   4.0 s4F)5p r3F K    
   229.6010    229.5303  -3.276 7.446e+04  22.00 Ti I        0.047966   4.0 s2 a3F         5.447951   4.0 (4F)5p 5G  K    
   229.8640    229.7932  -3.147 9.999e+04  22.00 Ti I        0.021094   3.0 s2 a3F         5.414902   4.0 (2H)4p v1G K    
   230.0567    229.9859  -0.560 6.942e+07  22.00 Ti I        0.000000   2.0 s2 a3F         5.389288   2.0 s4F)5p r3F MFW  
   230.3446    230.2737  -0.500 5.679e+07  22.00 Ti I        0.021094   3.0 s2 a3F         5.403647   3.0 s4F)5p r3F MFW  
   230.6384    230.5674  -0.430 5.176e+07  22.00 Ti I        0.047966   4.0 s2 a3F         5.423663   4.0 s4F)5p r3F MFW  
   230.9607    230.8897  -2.292 1.277e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.389288   2.0 s4F)5p r3F K    
   231.0148    230.9438  -2.002 1.382e+06  22.00 Ti I        0.047966   4.0 s2 a3F         5.414902   4.0 (2H)4p v1G K    
   231.5004    231.4292  -2.451 6.294e+05  22.00 Ti I        0.047966   4.0 s2 a3F         5.403647   3.0 s4F)5p r3F K    
   232.9519    232.8804  -4.195 1.569e+04  22.00 Ti I        0.000000   2.0 s2 a3F         5.322311   2.0 (2P)4p 1D  K    
   233.8788    233.8071  -3.208 1.511e+05  22.00 Ti I        0.021094   3.0 s2 a3F         5.322311   2.0 (2P)4p 1D  K    
   235.0584    234.9865  -4.056 2.122e+04  22.00 Ti I        0.812944   1.0 (4F)4s a5F     6.087556   2.0 s2F)5p 3D  K    
   235.2903    235.2183  -3.046 2.167e+05  22.00 Ti I        0.818142   2.0 (4F)4s a5F     6.087556   2.0 s2F)5p 3D  K    
   235.3532    235.2812  -4.671 3.669e+03  22.00 Ti I        0.825859   3.0 (4F)4s a5F     6.093864   3.0 s2F)5p 3D  K    
   235.3963    235.3243  -4.761 6.957e+03  22.00 Ti I        0.818142   2.0 (4F)4s a5F     6.085183   1.0 s2F)5p 3D  K    
   235.6354    235.5633  -2.462 8.292e+05  22.00 Ti I        0.825859   3.0 (4F)4s a5F     6.087556   2.0 s2F)5p 3D  K    
   235.8069    235.7348  -2.381 7.127e+05  22.00 Ti I        0.835995   4.0 (4F)4s a5F     6.093864   3.0 s2F)5p 3D  K    
   235.9798    235.9077  -4.090 1.391e+04  22.00 Ti I        0.000000   2.0 s2 a3F         5.254016   3.0 s4F)5p?p3D K    
   236.2102    236.1380  -4.404 5.239e+03  22.00 Ti I        0.021094   3.0 s2 a3F         5.269987   4.0 s4F)5p 5D  K    
   236.3437    236.2715  -3.635 3.953e+04  22.00 Ti I        0.000000   2.0 s2 a3F         5.245928   3.0 s2 4p q3D  K    
